Library	Name	Locator Type	Locator Value	Comments	
D2Client.dll	DifficultyLevel	Offset	0xE3024	nDifficultyLevel	
D2Client.dll	IngameMousePositionX	Offset	0xD19A8		
D2Client.dll	IngameMousePositionY	Offset	0xD19AC		
D2Client.dll	IsAutomapOpen	Offset	0xF4D9C		
D2Client.dll	IsGameMenuOpen	Offset	0xF4D98		
D2Client.dll	IsHelpScreenOpen	Offset	0xF4DF8		
D2Client.dll	IsNewSkillButtonPressed	Offset	0xF01F8		
D2Client.dll	IsNewStatsButtonPressed	Offset	0xF01F4		
D2DDraw.dll	DisplayHeight	Offset	0x116F8		
D2DDraw.dll	DisplayWidth	Offset	0x11700		
D2Direct3D.dll	DisplayHeight	Offset	0x1A708		
D2Direct3D.dll	DisplayWidth	Offset	0x1A44C		
D2GDI.dll	BitBlockHeight	Offset	0xB3C8		
D2GDI.dll	BitBlockWidth	Offset	0xAFBC		
D2GFX.dll	ResolutionMode	Offset	0x1D060	"0 = 640x480, 1 = Main Menu 800x600"	
D2Lang.dll	GetStringByIndex	Ordinal	10004		
D2Lang.dll	Unicode_strcat	Offset	0x13A0		Unicode::strcat
D2Lang.dll	Unicode_strlen	Offset	0x1490	?strlen@Unicode@@SIHPBU1@@Z	Unicode::strlen
D2Lang.dll	Unicode_tolower	Offset	0x10E0	?toLower@Unicode@@QBE?AU1@XZ	Unicode::toLower
D2Lang.dll	Unicode_toupper	Offset	0x10B0		Unicode::toUpper
D2Win.dll	LoadMPQ	Offset	0x10595		
D2Win.dll	MainMenuMousePositionX	Offset	0x5BCB8		
D2Win.dll	MainMenuMousePositionY	Offset	0x5BCBC		
D2Win.dll	UnloadMPQ	Offset	0x10742		
Fog.dll	AllocClientMemory	Ordinal	10033		
Fog.dll	FreeClientMemory	Ordinal	10034		
Storm.dll	SFileCloseArchive	Ordinal	252		
Storm.dll	SFileOpenArchive	Ordinal	266		
