Library	Name	Locator Type	Locator Value	Comments	
D2Client.dll	DifficultyLevel	Offset	0x10795C	nDifficultyLevel	
D2Client.dll	DrawCenteredUnicodeText	Offset	0x2FCD0		
D2Client.dll	GeneralDisplayHeight	Offset	0xD40F0		
D2Client.dll	GeneralDisplayWidth	Offset	0xD40EC		
D2Client.dll	GeneralPlayAreaCameraShiftX	Offset	0x10B9C8		
D2Client.dll	IngameMousePositionX	Offset	0x121AE4		
D2Client.dll	IngameMousePositionY	Offset	0x121AE8		
D2Client.dll	InventoryArrangeMode	Offset	0xFA708		
D2Client.dll	IsAutomapOpen	Offset	0x11A6D0		
D2Client.dll	IsGameMenuOpen	Offset	0x11A6CC		
D2Client.dll	IsHelpScreenOpen	Offset	0x11A72C		
D2Client.dll	IsNewSkillButtonPressed	Offset	0x115BC0		
D2Client.dll	IsNewStatsButtonPressed	Offset	0x115BBC		
D2Client.dll	ScreenOpenMode	Offset	0x10B9C4		
D2Client.dll	ScreenShiftX	Offset	0x11A748		
D2Client.dll	ScreenShiftY	Offset	0x11A74C		
D2CMP.dll	GetCelFromCelContext	Ordinal	10036		
D2CMP.dll	CloseCelFile	Ordinal	10032		
D2DDraw.dll	BitBlockHeight	Offset	0x11BBC		
D2DDraw.dll	BitBlockWidth	Offset	0x117B4		
D2DDraw.dll	CelDisplayLeft	Offset	0x1201C		
D2DDraw.dll	CelDisplayRight	Offset	0x12018		
D2DDraw.dll	DisplayHeight	Offset	0x117A8		
D2DDraw.dll	DisplayWidth	Offset	0x117B0		
D2Direct3D.dll	DisplayHeight	Offset	0x1A7AC		
D2Direct3D.dll	DisplayWidth	Offset	0x1A4F0		
D2GDI.dll	BitBlockHeight	Offset	0xC48C		
D2GDI.dll	BitBlockWidth	Offset	0xC07C		
D2GDI.dll	CelDisplayLeft	Offset	0xC9B4		
D2GDI.dll	CelDisplayRight	Offset	0xC9B0		
D2GFX.dll	DrawCelContext	Ordinal	10072		
D2GFX.dll	DrawRectangle	Ordinal	10055		
D2GFX.dll	ResolutionMode	Offset	0x1D26C	"0 = 640x480, 1 = Main Menu, 2 = 800x600, 3 = 1344x700"	
D2GFX.dll	VideoMode	Offset	0x1D264	"1 = GDI, 2 = Software, 3 = DirectDraw, 4 = Glide, 5 = OpenGL, 6 = Direct3D, 7 = Rave"	
D2Glide.dll	DisplayHeight	Offset	0x15468		
D2Glide.dll	DisplayWidth	Offset	0x153AC		
D2Lang.dll	GetStringByIndex	Ordinal	10004		
D2Lang.dll	Unicode_asciiToUnicode	Offset	0x1BD0	?win2Unicode@Unicode@@SIPAU1@PAU1@PBDH@Z	Unicode::win2Unicode
D2Lang.dll	Unicode_strcat	Offset	0x13F0		Unicode::strcat
D2Lang.dll	Unicode_strlen	Offset	0x14C0	?strlen@Unicode@@SIHPBU1@@Z	Unicode::strlen
D2Lang.dll	Unicode_tolower	Offset	0x10E0	?toLower@Unicode@@QBE?AU1@XZ	Unicode::toLower
D2Lang.dll	Unicode_toupper	Offset	0x10B0		Unicode::toUpper
D2Lang.dll	Unicode_utf8ToUnicode	Offset	0x2A40	?toUnicode@Unicode@@SIPAU1@PAU1@PBDH@Z	Unicode::toUnicode
D2Win.dll	DrawUnicodeText	Ordinal	10117		
D2Win.dll	GetPopupUnicodeTextWidthAndHeight	Ordinal	10131		
D2Win.dll	GetUnicodeTextDrawWidth	Ordinal	10121		
D2Win.dll	GetUnicodeTextNDrawWidth	Ordinal	10122		
D2Win.dll	LoadCelFile	Ordinal	10039		
D2Win.dll	LoadMPQ	Offset	0x12399		
D2Win.dll	MainMenuMousePositionX	Offset	0x5E234		
D2Win.dll	MainMenuMousePositionY	Offset	0x5E238		
D2Win.dll	SetTextFont	Ordinal	10127		
D2Win.dll	SetPopUpUnicodeText	Ordinal	10129		
D2Win.dll	UnloadCelFile	Ordinal	10041		
D2Win.dll	UnloadMPQ	Offset	0x12548		
Fog.dll	AllocClientMemory	Ordinal	10042		
Fog.dll	FreeClientMemory	Ordinal	10043		
Storm.dll	SFileCloseArchive	Ordinal	252		
Storm.dll	SFileOpenArchive	Ordinal	266		
