Library	Name	Locator Type	Locator Value	Comments	
D2Client.dll	DifficultyLevel	Offset	0x11C390	nDifficultyLevel	
D2Client.dll	IngameMousePositionX	Offset	0x11B828		
D2Client.dll	IngameMousePositionY	Offset	0x11B824		
D2Client.dll	IsAutomapOpen	Offset	0xFADA8		
D2Client.dll	IsGameMenuOpen	Offset	0xFADA4		
D2Client.dll	IsHelpScreenOpen	Offset	0xFAE04		
D2Client.dll	ScreenXShift	Offset	0x11C418		
D2Client.dll	IsNewSkillButtonPressed	Offset	0x11C30C		
D2Client.dll	IsNewStatsButtonPressed	Offset	0x11C308		
D2Client.dll	ScreenShiftX	Offset	0x11B9A0		
D2Client.dll	ScreenShiftY	Offset	0x11B9A4		
D2CMP.dll	CloseCelFile	Ordinal	10065		
D2DDraw.dll	DisplayHeight	Offset	0x101CC		
D2DDraw.dll	DisplayWidth	Offset	0x101D4		
D2Direct3D.dll	DisplayHeight	Offset	0x1AFD4		
D2Direct3D.dll	DisplayWidth	Offset	0x1AB44		
D2GDI.dll	BitBlockHeight	Offset	0xCA90		
D2GDI.dll	BitBlockWidth	Offset	0xCA80		
D2GDI.dll	CelDisplayLeft	Offset	0xCA98		
D2GDI.dll	CelDisplayRight	Offset	0xCA9C		
D2GFX.dll	ResolutionMode	Offset	0x11260	"0 = 640x480, 1 = Main Menu, 2 = 800x600, 3 = 1344x700"	
D2GFX.dll	VideoMode	Offset	0x11258	"1 = GDI, 2 = Software, 3 = DirectDraw, 4 = Glide, 5 = OpenGL, 6 = Direct3D, 7 = Rave"	
D2Glide.dll	DisplayHeight	Offset	0x15B04		
D2Glide.dll	DisplayWidth	Offset	0x15A68		
D2Lang.dll	CreateD2UnicodeChar	Ordinal	10000		
D2Lang.dll	CreateD2UnicodeCharWithValue	Ordinal			
D2Lang.dll	GetStringByIndex	Ordinal	10003		
D2Lang.dll	Unicode_strcat	Offset	0xAFE0		Unicode::strcat
D2Lang.dll	Unicode_strlen	Offset	0xB0B0	?strlen@Unicode@@SIHPBU1@@Z	Unicode::strlen
D2Lang.dll	Unicode_tolower	Offset	0x10C0	?toLower@Unicode@@QBE?AU1@XZ	Unicode::toLower
D2Lang.dll	Unicode_toupper	Offset	0x10A0		Unicode::toUpper
D2Win.dll	LoadCelFile	Ordinal	10111		
D2Win.dll	LoadMPQ	Offset	0x7E60		
D2Win.dll	MainMenuMousePositionX	Offset	0x21488		
D2Win.dll	MainMenuMousePositionY	Offset	0x2148C		
D2Win.dll	UnloadCelFile	N/A	N/A		
D2Win.dll	UnloadMPQ	N/A	N/A		
Fog.dll	AllocClientMemory	Ordinal	10042		
Fog.dll	FreeClientMemory	Ordinal	10043		
Storm.dll	SFileCloseArchive	Ordinal	252		
Storm.dll	SFileOpenArchive	Ordinal	266		
